observation_id,species,region,latitude,longitude,risk_score,observation_date
OBS-00000,salamander,Great Lakes,42.72,-86.84,0.062,2020-01-01
OBS-00001,frog,Pacific Coast,41.02,-87.92,0.588,2020-01-02
OBS-00002,bird,Prairie,40.22,-96.48,0.14,2020-01-03
OBS-00003,fish,Atlantic,40.92,-81.48,0.354,2020-01-04
OBS-00004,salamander,Great Lakes,42.98,-85.44,0.75,2020-01-05
OBS-00005,frog,Pacific Coast,41.74,-89.64,0.002,2020-01-06
OBS-00006,bird,Prairie,46.98,-97.08,0.92,2020-01-07
OBS-00007,fish,Atlantic,46.72,-86.2,0.422,2020-01-08
OBS-00008,salamander,Great Lakes,43.34,-80.08,0.238,2020-01-09
OBS-00009,frog,Pacific Coast,47.62,-94.92,0.744,2020-01-10
OBS-00010,bird,Prairie,40.88,-88.28,0.074,2020-01-11
OBS-00011,fish,Atlantic,49.06,-95.72,0.032,2020-01-12
OBS-00012,salamander,Great Lakes,40.84,-87.28,0.368,2020-01-13
OBS-00013,frog,Pacific Coast,49.019999999999996,-95.48,0.904,2020-01-14
OBS-00014,bird,Prairie,43.94,-93.52,0.838,2020-01-15
OBS-00015,fish,Atlantic,43.36,-93.92,0.738,2020-01-16
OBS-00016,salamander,Great Lakes,41.04,-90.32,0.528,2020-01-17
OBS-00017,frog,Pacific Coast,45.82,-89.92,0.828,2020-01-18
OBS-00018,bird,Prairie,49.58,-93.64,0.67,2020-01-19
OBS-00019,fish,Atlantic,40.46,-85.08,0.486,2020-01-20
OBS-00020,salamander,Great Lakes,46.8,-92.52,0.436,2020-01-21
OBS-00021,frog,Pacific Coast,48.04,-88.88,0.834,2020-01-22
OBS-00022,bird,Prairie,44.480000000000004,-90.44,0.242,2020-01-23
OBS-00023,fish,Atlantic,40.4,-94.48,0.308,2020-01-24
OBS-00024,salamander,Great Lakes,40.78,-98.44,0.58,2020-01-25
OBS-00025,frog,Pacific Coast,45.76,-93.72,0.94,2020-01-26
OBS-00026,bird,Prairie,40.04,-87.36,0.326,2020-01-27
OBS-00027,fish,Atlantic,49.68,-89.84,0.096,2020-01-28
OBS-00028,salamander,Great Lakes,42.36,-86.28,0.926,2020-01-29
OBS-00029,frog,Pacific Coast,41.66,-80.4,0.492,2020-01-30
OBS-00030,bird,Prairie,47.38,-90.03999999999999,0.356,2020-01-31
OBS-00031,fish,Atlantic,45.16,-87.6,0.124,2020-02-01
OBS-00032,salamander,Great Lakes,40.12,-92.0,0.866,2020-02-02
OBS-00033,frog,Pacific Coast,45.46,-89.12,0.71,2020-02-03
OBS-00034,bird,Prairie,40.82,-82.44,0.29,2020-02-04
OBS-00035,fish,Atlantic,42.52,-95.64,0.884,2020-02-05
OBS-00036,salamander,Great Lakes,47.9,-93.0,0.858,2020-02-06
OBS-00037,frog,Pacific Coast,42.08,-83.92,0.618,2020-02-07
OBS-00038,bird,Prairie,45.9,-85.68,0.794,2020-02-08
OBS-00039,fish,Atlantic,45.84,-95.2,0.814,2020-02-09
OBS-00040,salamander,Great Lakes,41.7,-91.0,0.318,2020-02-10
OBS-00041,frog,Pacific Coast,47.32,-96.96,0.038,2020-02-11
OBS-00042,bird,Prairie,46.26,-85.64,0.716,2020-02-12
OBS-00043,fish,Atlantic,45.98,-87.16,0.362,2020-02-13
OBS-00044,salamander,Great Lakes,43.18,-97.8,0.076,2020-02-14
OBS-00045,frog,Pacific Coast,47.66,-80.8,0.506,2020-02-15
OBS-00046,bird,Prairie,43.58,-84.52,0.384,2020-02-16
OBS-00047,fish,Atlantic,45.18,-93.4,0.786,2020-02-17
OBS-00048,salamander,Great Lakes,46.06,-91.68,0.538,2020-02-18
OBS-00049,frog,Pacific Coast,40.38,-94.8,0.036,2020-02-19
OBS-00050,bird,Prairie,48.74,-86.0,0.218,2020-02-20
OBS-00051,fish,Atlantic,45.1,-88.24,0.932,2020-02-21
